IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.246.144.214,443,443,TRUE,IAD,North America,Ashburn,225,7.01
20.230.56.62,443,443,TRUE,IAD,North America,Ashburn,229,6.56
172.208.36.45,443,443,TRUE,IAD,North America,Ashburn,263,5.87
20.151.238.232,443,443,TRUE,YYZ,North America,Toronto,230,5.49
4.228.9.204,443,0,FALSE,GRU,South America,S?o Paulo,337,4.12
20.201.9.186,443,0,FALSE,GRU,South America,S?o Paulo,337,4
20.201.48.75,443,0,FALSE,GRU,South America,S?o Paulo,334,3.95
191.237.205.178,443,0,FALSE,GRU,South America,S?o Paulo,334,3.79
191.237.202.255,443,0,FALSE,GRU,South America,S?o Paulo,337,3.53
20.170.41.153,443,443,TRUE,FRA,Europe,Frankfurt,154,2.43
20.89.159.118,443,0,FALSE,NRT,Asia Pacific,Tokyo,67,0.08
4.194.32.215,443,0,FALSE,SIN,Asia Pacific,Singapore,5,0.08
20.2.87.94,443,0,FALSE,HKG,Asia Pacific,Hong Kong,33,0.08
20.212.21.64,443,0,FALSE,SIN,Asia Pacific,Singapore,3,0.07
20.89.142.226,443,0,FALSE,NRT,Asia Pacific,Tokyo,67,0.06
20.18.32.188,443,0,FALSE,NRT,Asia Pacific,Tokyo,71,0
4.155.2.13,443,80,FALSE,SEA,North America,Seattle,160,0
172.166.254.254,443,443,TRUE,LHR,Europe,London,161,0
20.245.7.79,443,0,TRUE,SJC,North America,San Jose,170,0
20.197.226.118,2053,443,TRUE,GRU,South America,S?o Paulo,334,3.46
20.203.143.112,2053,80,FALSE,MXP,Europe,Milan,149,3.17
20.11.67.74,2053,443,TRUE,SYD,Oceania,Sydney,90,0.68
51.107.211.178,2053,80,FALSE,CPH,Europe,Copenhagen,173,0
51.107.211.177,2053,80,FALSE,CPH,Europe,Copenhagen,178,0
20.65.184.211,2053,443,TRUE,DFW,North America,Dallas,189,0
20.203.143.112,2083,80,FALSE,MXP,Europe,Milan,150,2.87
51.107.211.178,2083,80,FALSE,CPH,Europe,Copenhagen,173,0
51.107.211.177,2083,80,FALSE,CPH,Europe,Copenhagen,174,0
20.203.143.117,2087,80,FALSE,MXP,Europe,Milan,149,3.15
20.251.162.143,2087,443,TRUE,CPH,Europe,Copenhagen,210,0.23
51.107.211.177,2087,80,FALSE,CPH,Europe,Copenhagen,173,0
51.107.211.178,2087,80,FALSE,CPH,Europe,Copenhagen,174,0
20.203.143.117,2096,80,FALSE,MXP,Europe,Milan,149,3.13
20.203.143.114,2096,80,FALSE,MXP,Europe,Milan,150,3.04
20.200.126.106,8443,443,TRUE,YYZ,North America,Toronto,241,6.95
20.197.226.118,8443,443,TRUE,GRU,South America,S?o Paulo,338,3.51
20.11.67.74,8443,443,TRUE,SYD,Oceania,Sydney,87,0.68
20.162.83.161,8443,0,TRUE,LHR,Europe,London,157,0
