IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
64.110.88.200,8443,80,FALSE,ICN,Asia Pacific,Seoul,100,5.37
131.186.28.236,443,443,TRUE,NRT,Asia Pacific,Tokyo,97,5.22
131.186.27.112,2096,443,TRUE,ICN,Asia Pacific,Seoul,99,5.22
141.147.178.154,443,443,TRUE,NRT,Asia Pacific,Tokyo,68,5.1
168.138.50.249,443,443,TRUE,KIX,Asia Pacific,Osaka,83,5.09
152.69.200.206,443,443,TRUE,HKG,Asia Pacific,Hong Kong,81,4.99
64.110.104.30,443,443,TRUE,KIX,Asia Pacific,Osaka,79,4.74
193.123.250.209,2087,2096,TRUE,ICN,Asia Pacific,Seoul,117,4.74
146.56.133.140,2096,80,FALSE,NRT,Asia Pacific,Tokyo,107,3.22
64.110.103.69,443,443,TRUE,KIX,Asia Pacific,Osaka,92,3.12
35.229.161.32,443,443,TRUE,TPE,Asia Pacific,Taipei,42,2.31
146.56.133.140,2083,80,FALSE,NRT,Asia Pacific,Tokyo,106,2.24
34.93.0.149,443,443,TRUE,BOM,Asia Pacific,Mumbai,71,2.23
34.93.0.149,443,443,TRUE,BOM,Asia Pacific,Mumbai,100,1.81
34.93.0.149,443,443,TRUE,BOM,Asia Pacific,Mumbai,62,1.31
34.93.0.149,443,443,TRUE,BOM,Asia Pacific,Mumbai,64,0.96
35.200.238.235,443,443,TRUE,BOM,Asia Pacific,Mumbai,130,0.45
35.200.238.235,443,443,TRUE,BOM,Asia Pacific,Mumbai,312,0.41
168.138.184.172,443,443,TRUE,SIN,Asia Pacific,Singapore,9,0
138.2.75.36,443,443,TRUE,SIN,Asia Pacific,Singapore,41,0
140.83.86.166,443,443,TRUE,KIX,Asia Pacific,Osaka,81,0
168.138.41.79,443,443,TRUE,KIX,Asia Pacific,Osaka,84,0
152.70.235.207,443,443,TRUE,NRT,Asia Pacific,Tokyo,87,0
146.56.46.84,443,443,TRUE,NRT,Asia Pacific,Tokyo,105,0
146.56.157.97,443,443,TRUE,NRT,Asia Pacific,Tokyo,125,0
158.179.170.130,443,443,TRUE,ICN,Asia Pacific,Seoul,158,0
140.238.58.181,2053,443,TRUE,NRT,Asia Pacific,Tokyo,77,0
213.35.124.73,8443,8443,TRUE,SIN,Asia Pacific,Singapore,71,0
104.199.156.241,80,443,FALSE,SIN,Asia Pacific,Singapore,42,0
34.22.100.72,443,443,TRUE,ICN,Asia Pacific,Seoul,79,0
