IP:PORT, LOSS, DELAY
[2606:4700:d1::48f4:b7b2:877d:74cb]:878,0.00%,247 ms
[2606:4700:d1::7cc1:5fc6:4478:9e5e]:1701,0.00%,247 ms
[2606:4700:d1::a5f2:5431:515d:fba2]:878,0.00%,248 ms
[2606:4700:d1::9309:3364:6ee8:9e41]:878,0.00%,248 ms
[2606:4700:d0::8028:56cc:5da7:10e6]:878,0.00%,249 ms
[2606:4700:d0::0bea:a49f:d30c:21d4]:1701,0.00%,249 ms
[2606:4700:d0::8028:56cc:5da7:10e6]:1701,0.00%,249 ms
[2606:4700:d0::4a63:bac6:4792:ce9f]:1701,0.00%,250 ms
[2606:4700:d0::1a6a:8af1:8f30:0907]:1701,0.00%,250 ms
[2606:4700:d1::9309:3364:6ee8:9e41]:1701,0.00%,250 ms
[2606:4700:d1::342a:c2cb:5742:4cc8]:878,0.00%,250 ms
[2606:4700:d1::458f:7ae8:ee2b:88eb]:878,0.00%,250 ms
[2606:4700:d0::6168:4a8a:feb8:2034]:1701,0.00%,250 ms
[2606:4700:d0::25dd:1a0d:7b78:be35]:1701,0.00%,250 ms
[2606:4700:d1::6b12:f5db:4b39:a870]:1701,0.00%,251 ms
[2606:4700:d1::7dce:83c9:9155:e6aa]:878,0.00%,251 ms
[2606:4700:d1::9da5:15c2:1c2f:d7e9]:878,0.00%,251 ms
[2606:4700:d1::9617:35b7:7cb2:315d]:1701,0.00%,251 ms
[2606:4700:d1::312e:e41e:c3c5:e85f]:1701,0.00%,251 ms
[2606:4700:d0::50e7:fcb0:89b2:64d7]:1701,0.00%,252 ms
[2606:4700:d1::6794:a423:da3b:148e]:1701,0.00%,252 ms
[2606:4700:d1::9617:35b7:7cb2:315d]:878,0.00%,252 ms
[2606:4700:d1::9da5:15c2:1c2f:d7e9]:1701,0.00%,252 ms
[2606:4700:d1::733a:1766:f97c:f451]:878,0.00%,252 ms
[2606:4700:d1::a1d5:70e7:d771:6d49]:1701,0.00%,252 ms
[2606:4700:d0::095e:8464:caea:0cc2]:878,0.00%,253 ms
[2606:4700:d0::4a63:bac6:4792:ce9f]:878,0.00%,253 ms
[2606:4700:d0::2784:3d80:fa35:aeea]:878,0.00%,253 ms
[2606:4700:d1::c99f:cec3:68f6:e167]:878,0.00%,254 ms
[2606:4700:d0::0e88:d3dc:6625:4323]:1701,0.00%,254 ms
[2606:4700:d0::095e:8464:caea:0cc2]:1701,0.00%,254 ms
[2606:4700:d0::0f8e:0ce7:e440:8c89]:1701,0.00%,254 ms
[2606:4700:d0::8b90:9ecb:3b55:b3c0]:878,0.00%,254 ms
[2606:4700:d0::cc5e:7e5e:7fe7:e8c6]:1701,0.00%,254 ms
[2606:4700:d1::5895:66ea:7f94:d80e]:878,0.00%,254 ms
[2606:4700:d1::7b8a:81a5:1451:175e]:878,0.00%,254 ms
[2606:4700:d0::1bdc:c200:0036:a367]:1701,0.00%,255 ms
[2606:4700:d0::70b7:de3a:e712:4eef]:1701,0.00%,255 ms
[2606:4700:d1::458f:7ae8:ee2b:88eb]:1701,0.00%,255 ms
[2606:4700:d0::713c:735c:30f9:624b]:878,0.00%,255 ms
[2606:4700:d0::0bea:a49f:d30c:21d4]:878,0.00%,255 ms
