IP:PORT, LOSS, DELAY
188.114.96.143:1070,0.00%,233 ms
162.159.192.213:8854,0.00%,235 ms
188.114.96.129:1010,0.00%,235 ms
162.159.195.129:1074,0.00%,235 ms
188.114.96.246:3138,0.00%,235 ms
162.159.195.125:878,0.00%,236 ms
188.114.99.208:1002,0.00%,239 ms
162.159.192.54:1074,0.00%,244 ms
188.114.99.217:1002,0.00%,244 ms
188.114.99.204:1002,0.00%,245 ms
188.114.96.250:3138,0.00%,245 ms
188.114.99.195:1701,0.00%,246 ms
162.159.192.203:500,0.00%,246 ms
188.114.97.42:987,0.00%,247 ms
188.114.98.81:946,0.00%,247 ms
188.114.96.91:1701,0.00%,247 ms
162.159.195.106:878,0.00%,247 ms
188.114.96.227:7559,0.00%,247 ms
188.114.98.83:8854,0.00%,247 ms
188.114.97.50:934,0.00%,248 ms
188.114.96.30:890,0.00%,248 ms
188.114.98.79:8854,0.00%,249 ms
188.114.96.247:3138,0.00%,249 ms
162.159.192.58:7281,0.00%,249 ms
162.159.195.138:1074,0.00%,249 ms
162.159.195.97:2506,0.00%,249 ms
162.159.195.245:1387,0.00%,249 ms
188.114.99.159:1002,0.00%,249 ms
188.114.98.81:8854,0.00%,250 ms
188.114.97.31:1014,0.00%,250 ms
188.114.99.186:7156,0.00%,251 ms
188.114.98.76:8854,0.00%,251 ms
188.114.97.204:1843,0.00%,251 ms
162.159.195.239:955,0.00%,251 ms
162.159.192.204:500,0.00%,251 ms
162.159.195.89:1002,0.00%,251 ms
188.114.99.41:945,0.00%,251 ms
188.114.97.131:894,0.00%,251 ms
188.114.99.156:3476,0.00%,251 ms
162.159.192.58:1074,0.00%,252 ms
188.114.98.197:3476,0.00%,252 ms
188.114.97.169:4233,0.00%,252 ms
162.159.192.54:7281,0.00%,252 ms
188.114.98.188:908,0.00%,252 ms
188.114.96.30:8319,0.00%,252 ms
188.114.97.105:4233,0.00%,252 ms
188.114.97.131:943,0.00%,252 ms
188.114.96.80:4233,0.00%,252 ms
188.114.96.98:1701,0.00%,252 ms
188.114.97.176:2371,0.00%,253 ms
188.114.99.0:894,0.00%,253 ms
162.159.195.141:894,0.00%,253 ms
188.114.96.92:7281,0.00%,253 ms
162.159.192.190:934,0.00%,253 ms
162.159.195.104:943,0.00%,253 ms
188.114.97.190:878,0.00%,253 ms
188.114.98.32:7103,0.00%,254 ms
188.114.98.15:7559,0.00%,254 ms
188.114.97.42:864,0.00%,254 ms
162.159.192.59:7281,0.00%,254 ms
162.159.195.245:955,0.00%,254 ms
188.114.98.188:1018,0.00%,254 ms
188.114.98.32:7152,0.00%,254 ms
188.114.98.184:1018,0.00%,254 ms
188.114.96.107:3476,0.00%,255 ms
188.114.98.61:859,0.00%,255 ms
188.114.96.58:7559,0.00%,255 ms
188.114.96.225:8854,0.00%,255 ms
162.159.195.61:1387,0.00%,255 ms
188.114.97.239:7156,0.00%,255 ms
188.114.96.2:3138,0.00%,255 ms
162.159.192.98:8742,0.00%,255 ms
162.159.192.200:3581,0.00%,255 ms
162.159.195.124:878,0.00%,255 ms
162.159.192.196:500,0.00%,255 ms
188.114.98.146:8742,0.00%,255 ms
162.159.192.64:7281,0.00%,255 ms
188.114.97.239:4233,0.00%,255 ms
162.159.195.76:5279,0.00%,255 ms
162.159.192.95:1070,0.00%,256 ms
188.114.97.15:934,0.00%,256 ms
188.114.96.100:4500,0.00%,256 ms
188.114.96.252:3138,0.00%,256 ms
162.159.195.71:5279,0.00%,256 ms
188.114.96.137:1180,0.00%,256 ms
188.114.96.196:943,0.00%,256 ms
188.114.98.212:1843,0.00%,256 ms
188.114.98.71:3581,0.00%,256 ms
162.159.192.190:8886,0.00%,256 ms
188.114.96.147:987,0.00%,256 ms
188.114.99.173:4233,0.00%,256 ms
188.114.99.52:2506,0.00%,256 ms
162.159.192.138:943,0.00%,257 ms
188.114.97.12:934,0.00%,257 ms
188.114.96.156:1014,0.00%,257 ms
162.159.195.153:8742,0.00%,257 ms
188.114.98.62:859,0.00%,257 ms
162.159.192.185:934,0.00%,257 ms
188.114.99.190:7559,0.00%,257 ms
188.114.99.235:7559,0.00%,257 ms
188.114.98.206:890,0.00%,257 ms
162.159.195.155:8319,0.00%,257 ms
188.114.98.67:3581,0.00%,257 ms
162.159.195.229:854,0.00%,257 ms
188.114.96.105:946,0.00%,257 ms
188.114.99.51:864,0.00%,257 ms
188.114.99.8:7156,0.00%,257 ms
188.114.98.185:908,0.00%,257 ms
188.114.96.52:1387,0.00%,257 ms
188.114.96.105:4500,0.00%,257 ms
188.114.96.93:7281,0.00%,257 ms
188.114.97.123:864,0.00%,257 ms
188.114.96.236:934,0.00%,257 ms
162.159.195.249:955,0.00%,257 ms
162.159.192.92:1002,0.00%,258 ms
162.159.195.129:894,0.00%,258 ms
188.114.97.122:864,0.00%,258 ms
